NO,CATEGORY - ENGLISH,CATEGORY - ARABIC,PRODUCT NAME - ENGLISH,PRODUCT NAME - ARABIC,DESCRIPTION - ENGLISH,DESCRIPTION - ARABIC,PRICE,PREPARATION TIME,ADD-ONS ENGLISH,ADD-ONS ARABIC
262,Birthday special,هدية عيد ميلاد,Happy birthday special mixed pink and golden bouquet,باقة عيد الميلاد المميزة باللون الوردي والذهبي,A stunning bouquet with pink flowers and golden accents.,باقة مذهلة بالزهور الوردية واللمسات الذهبية.,370,60,Greeting Card,بطاقة تهنئة
263,Birthday special,هدية عيد ميلاد,Birthday Special Pink and Beige Flower Luxury Perfume Arrangement,تنسيق زهور وردية وبيج مع عطر فاخر لعيد الميلاد,Delicate pink and beige flowers paired with luxury perfume.,زهور وردية وبيج رقيقة مقترنة بعطر فاخر.,390,60,Greeting Card,بطاقة تهنئة
264,Birthday special,هدية عيد ميلاد,Birthday Special Pink Rose with Luxury Perfume,ورد وردي لعيد الميلاد مع عطر فاخر,Beautiful pink roses accompanied by a luxury perfume.,ورود وردية جميلة مصحوبة بعطر فاخر.,390,60,Greeting Card,بطاقة تهنئة
265,Birthday special,هدية عيد ميلاد,Birthday Special Pinkish Brand Luxury Flower Arrangement,تنسيق زهور فاخر لعيد الميلاد بلمسة وردية,A premium floral arrangement with elegant pinkish tones.,تنسيق زهور فاخر بدرجات وردية أنيقة.,360,60,Greeting Card,بطاقة تهنئة
266,Birthday special,هدية عيد ميلاد,Birthday Special Purple Rose and Luxury Perfume,ورد بنفسجي لعيد الميلاد مع عطر فاخر,Stunning purple roses and luxury perfume in a gift set.,ورود بنفسجية مذهلة وعطر فاخر في طقم هدايا.,360,60,Greeting Card,بطاقة تهنئة
267,Birthday special,هدية عيد ميلاد,Birthday Special Red Premium Birthday Gift Teddy Fresh Flower Arrangement,تنسيق دبدوب زهور طبيعية أحمر فاخر لعيد الميلاد,A premium birthday gift featuring a teddy bear made of fresh red flowers.,هدية عيد ميلاد فاخرة تتميز بدبدوب مصنوع من الزهور الحمراء الطبيعية.,790,60,Greeting Card,بطاقة تهنئة
268,Birthday special,هدية عيد ميلاد,Birthday Special White Beauty Merge Perfume Arrangement,تنسيق عطر جمال أبيض لعيد الميلاد,Elegant white flowers blended with a luxury perfume set.,زهور بيضاء أنيقة ممزوجة بطقم عطر فاخر.,390,60,Greeting Card,بطاقة تهنئة
269,Birthday special,هدية عيد ميلاد,Birthday Special White and Red Bouquet,باقة عيد الميلاد المميزة باللونين الأبيض والأحمر,A classic bouquet combining white and red blooms.,باقة كلاسيكية تجمع بين الزهور البيضاء والحمراء.,490,60,Greeting Card,بطاقة تهنئة
270,Birthday special,هدية عيد ميلاد,Birthday Special White Mix Flower with Luxury Perfume,زهور بيضاء مشكلة لعيد الميلاد مع عطر فاخر,A mix of white flowers presented with a luxury perfume.,تشكيلة من الزهور البيضاء مقدمة مع عطر فاخر.,620,60,Greeting Card,بطاقة تهنئة
271,Birthday special,هدية عيد ميلاد,Birthday Special Whitish Arrangement with Branded Perfume,تنسيق أبيض لعيد الميلاد مع عطر ماركة,Sophisticated white floral arrangement featuring a branded perfume.,تنسيق زهور أبيض راقي يتميز بعطر ماركة.,620,60,Greeting Card,بطاقة تهنئة
272,Birthday special,هدية عيد ميلاد,Birthday Special Whitish Wow Bouquet,"باقة ""واو"" بيضاء لعيد الميلاد",An impressive and stunning bouquet of white flowers.,باقة مثيرة ومذهلة من الزهور البيضاء.,370,60,Greeting Card,بطاقة تهنئة
273,Bridal bouquet,باقة عروس,Bridal bouquet new model mix purple flowers,باقة عروس موديل جديد زهور بنفسجية مشكلة,An elegant cascading bouquet featuring a mix of beautiful purple flowers.,باقة منسدلة أنيقة تتميز بمزيج من الزهور البنفسجية الجميلة.,750,60,Greeting Card,بطاقة تهنئة
274,Bridal bouquet,باقة عروس,Bridal bouquet new model white and pink fresh flowers,باقة عروس موديل جديد زهور بيضاء ووردية طازجة,A fresh and romantic bouquet combining white and pink blossoms.,باقة طازجة ورومانسية تجمع بين الزهور البيضاء والوردية.,730,60,Greeting Card,بطاقة تهنئة
275,Bridal bouquet,باقة عروس,Bridal bouquet new model white mixed bouquet,باقة عروس موديل جديد باقة بيضاء مشكلة,A classic bridal arrangement with a mix of elegant white flowers.,تنسيق عروس كلاسيكي مع مزيج من الزهور البيضاء الأنيقة.,580,60,Greeting Card,بطاقة تهنئة
276,Bridal bouquet,باقة عروس,Cala lilly bridal bouquet,باقة عروس زنبق كالا,A sophisticated and minimalist bridal bouquet made of white cala lilies.,باقة عروس راقية وبسيطة مصنوعة من زنابق الكالا البيضاء.,330,60,Greeting Card,بطاقة تهنئة
277,Bridal bouquet,باقة عروس,Lilly bridal bouquet,باقة عروس زنبق,"A stunning arrangement of pure white lilies, perfect for a wedding day.",تنسيق مذهل من زنابق بيضاء نقية، مثالي ليوم الزفاف.,290,60,Greeting Card,بطاقة تهنئة
278,Bridal bouquet,باقة عروس,Off white bridal bouquet,باقة عروس أوف وايت,A soft and romantic bouquet in elegant off-white tones.,باقة ناعمة ورومانسية بدرجات الأوف وايت الأنيقة.,320,60,Greeting Card,بطاقة تهنئة
279,Bridal bouquet,باقة عروس,Red rose bridal bouquet,باقة عروس ورد أحمر,A passionate and timeless bridal bouquet of deep red roses.,باقة عروس عاطفية وخالدة من الورود الحمراء الداكنة.,250,60,Greeting Card,بطاقة تهنئة
280,Bridal bouquet,باقة عروس,Rose and calalilly bridal bouquet,باقة عروس ورد وزنبق كالا,A beautiful combination of classic roses and elegant cala lilies.,مزيج جميل من الورود الكلاسيكية وزنابق الكالا الأنيقة.,230,60,Greeting Card,بطاقة تهنئة
281,Bridal bouquet,باقة عروس,Tulip bridal bouquet,باقة عروس توليب,A charming and delicate bridal bouquet featuring fresh white and pink tulips.,باقة عروس ساحرة ورقيقة تتميز بتوليب أبيض ووردي طازج.,300,60,Greeting Card,بطاقة تهنئة
282,Bridal bouquet,باقة عروس,White bridal bouquet,باقة عروس بيضاء,A pure and elegant all-white bridal bouquet for a traditional look.,باقة عروس بيضاء نقية وأنيقة لمظهر تقليدي.,250,60,Greeting Card,بطاقة تهنئة
283,Bridal bouquet,باقة عروس,White carnation bridal bouquet,باقة عروس قرنفل أبيض,A delicate and textured bridal bouquet made of fresh white carnations.,باقة عروس رقيقة وذات ملمس مميز مصنوعة من القرنفل الأبيض الطازج.,250,60,Greeting Card,بطاقة تهنئة
284,Bridal bouquet,باقة عروس,White mixed bridal bouquet,باقة عروس بيضاء مشكلة,"A lovely, mixed white floral bouquet with various seasonal blooms.",باقة زهور بيضاء مشكلة جميلة مع مختلف الزهور الموسمية.,370,,Greeting Card,بطاقة تهنئة
285,Bridal bouquet,باقة عروس,Whitish mixed bridal bouquet,باقة عروس أبيض مشكل,"A soft, whitish-toned mixed bouquet, perfect for an elegant wedding.",باقة مشكلة بدرجات بيضاء ناعمة، مثالية لزفاف أنيق.,390,60,Greeting Card,بطاقة تهنئة
286,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),2 Pink lily with white wrapper no-1027,2 زنبق وردي مع تغليف أبيض رقم 1027,Two delicate pink lilies presented in clean white wrapping.,زنبق وردي رقيق مقدم في تغليف أبيض نقي.,60,60,Greeting Card,بطاقة تهنئة
287,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),2 White lily no-1000,2 زنبق أبيض رقم 1000,A simple and elegant pair of fresh white lilies.,زوج من زهور الزنبق الأبيض الطازج بتصميم بسيط وأنيق.,60,60,Greeting Card,بطاقة تهنئة
288,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),3 Red rose beauty,3 وردة حمراء جميلة,Three classic red roses arranged beautifully for a subtle gift.,ثلاث وردات حمراء كلاسيكية منسقة بجمال لهدية رقيقة.,80,60,Greeting Card,بطاقة تهنئة
289,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),3 Pink roses,3 وردة وردية,"Three soft pink roses, perfect for a sweet and simple gesture.",ثلاث وردات وردية ناعمة، مثالية لفتة رقيقة وبسيطة.,60,60,Greeting Card,بطاقة تهنئة
290,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),3 White roses,3 وردة بيضاء,"Three pure white roses, representing innocence and elegance.",ثلاث وردات بيضاء نقية، تمثل البراءة والأناقة.,60,60,Greeting Card,بطاقة تهنئة
291,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),5 Roses fushiya no-1092,5 وردة فوشيا رقم 1092,"Five vibrant fuchsia roses, ideal for a bright and happy gift.",خمس وردات فوشيا زاهية، مثالية لهدية مشرقة وسعيدة.,80,60,Greeting Card,بطاقة تهنئة
292,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),6 Cala lily no-1098,6 زنبق كالا رقم 1098,"Six graceful cala lilies arranged in a modern, stylish bouquet.",ست زهرات زنبق كالا أنيقة منسقة في باقة عصرية وأنيقة.,170,60,Greeting Card,بطاقة تهنئة
293,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),6 Purple rose no-1096,6 وردة بنفسجية رقم 1096,Six elegant purple roses for a sophisticated and unique gift.,ست وردات بنفسجية أنيقة لهدية راقية وفريدة.,80,60,Greeting Card,بطاقة تهنئة
294,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Fushia rose small bouquet,باقة ورد فوشيا صغيرة,A compact and cute bouquet of vibrant fuchsia roses.,باقة صغيرة ولطيفة من ورود الفوشيا الزاهية.,80,60,Greeting Card,بطاقة تهنئة
295,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Pocket petals no-14,بتلات جيب رقم 14,"A charming, small bouquet of mixed petals and buds.",باقة صغيرة ساحرة من بتلات وبراعم متنوعة.,130,60,Greeting Card,بطاقة تهنئة
296,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose budjet free,ورد اقتصادي,"An affordable, lovely mixed rose arrangement for any occasion.",تنسيق ورد مشكل واقتصادي جميل لكل المناسبات.,50,60,Greeting Card,بطاقة تهنئة
297,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose hand bouquet cute,باقة ورد يد لطيفة,"A small, cute hand-tied bouquet of mixed flowers.",باقة يد صغيرة ولطيفة من زهور متنوعة.,60,60,Greeting Card,بطاقة تهنئة
298,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose mix,مزيج ورد,"A beautiful, budget-friendly mix of fresh colorful roses.",مزيج جميل واقتصادي من الورود الملونة الطازجة.,60,60,Greeting Card,بطاقة تهنئة
299,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose purple with white wrapper,ورد بنفسجي مع تغليف أبيض,Elegant purple roses presented in soft white wrapping.,ورود بنفسجية أنيقة مقدمة في تغليف أبيض ناعم.,90,60,Greeting Card,بطاقة تهنئة
300,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose red mix,مزيج ورد أحمر,A lovely and affordable mix featuring vibrant red roses.,مزيج جميل واقتصادي يضم وروداً حمراء زاهية.,60,60,Greeting Card,بطاقة تهنئة
301,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose reverie 18,ورد الأحلام 18,"A dreamy, small arrangement of pink and white flowers.",تنسيق صغير وحالم من الزهور الوردية والبيضاء.,50,60,Greeting Card,بطاقة تهنئة
302,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose samll bouquet,باقة ورد صغيرة,A compact and sweet bouquet of fresh seasonal flowers.,باقة صغيرة وحلوة من زهور موسمية طازجة.,60,60,Greeting Card,بطاقة تهنئة
303,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose white small hand bouquet,باقة يد ورد أبيض صغيرة,"A tiny, elegant bouquet of fresh white roses.",باقة صغيرة وأنيقة من الورود البيضاء الطازجة.,50,60,Greeting Card,بطاقة تهنئة
304,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rose with acc mix,باقة ورد مع إضافات متنوعة,A lovely combination of roses mixed with stylish floral accents.,مزيج جميل من الورود مع إضافات زهرية أنيقة.,50,60,Greeting Card,بطاقة تهنئة
305,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Rosebud charm 13,باقة ورد روزبد ساحرة 13,"A charming, compact bouquet featuring delicate rosebuds.",باقة صغيرة وساحرة تتميز ببراعم الورد الرقيقة.,50,60,Greeting Card,بطاقة تهنئة
306,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Silver glow,باقة سيلفر جلو,A radiant bouquet of white flowers presented in elegant silver-toned wrapping.,باقة متألقة من الزهور البيضاء مقدمة في تغليف أنيق باللون الفضي.,50,60,Greeting Card,بطاقة تهنئة
307,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Silver reddish,باقة سيلفر ريديش,A sophisticated blend of red roses wrapped in modern silver paper.,مزيج راقٍ من الورد الأحمر مغلف بورق فضي عصري.,50,60,Greeting Card,بطاقة تهنئة
308,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Simply pink,باقة سيمبلي بينك,A simple and sweet bouquet featuring soft pink roses.,باقة بسيطة وحلوة تتميز بالورود الوردية الناعمة.,40,60,Greeting Card,بطاقة تهنئة
309,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Single grace,باقة سينجل جريس,"A single, elegant rose bouquet perfect for a minimalist gift.",باقة وردة واحدة أنيقة مثالية لهدية بسيطة ومميزة.,60,60,Greeting Card,بطاقة تهنئة
310,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Small bloom surprise no-19,باقة مفاجأة الأزهار الصغيرة رقم 19,A delightful small bouquet featuring assorted purple surprise blooms.,باقة صغيرة ومبهجة تتميز بزهور بنفسجية متنوعة.,90,60,Greeting Card,بطاقة تهنئة
311,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Small rose bouquet,باقة ورد صغيرة,A classic small bouquet of red roses for a timeless gesture.,باقة صغيرة كلاسيكية من الورد الأحمر لفتة خالدة.,50,60,Greeting Card,بطاقة تهنئة
312,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Small rose mix,باقة ورد صغير مشكل,A sweet and colorful mix of roses in a compact arrangement.,مزيج حلو وملون من الورود في تنسيق صغير.,90,60,Greeting Card,بطاقة تهنئة
313,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Soft serenade no-2000,باقة سوفت سيريناد رقم 2000,A gentle and romantic bouquet featuring soft pastel flowers.,باقة ناعمة ورومانسية تتميز بزهور بألوان باستيل هادئة.,120,60,Greeting Card,بطاقة تهنئة
314,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Soft whisper 01,باقة سوفت ويسبر 01,A delicate bouquet designed to convey a soft and thoughtful message.,باقة رقيقة مصممة لنقل رسالة ناعمة ومدروسة.,60,60,Greeting Card,بطاقة تهنئة
315,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Spring serenade 11,باقة سبرينج سيريناد 11,A fresh bouquet filled with the vibrant spirit of spring.,باقة طازجة مليئة بروح الربيع الحيوية.,50,60,Greeting Card,بطاقة تهنئة
316,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Sweet hand bouquet no-12,باقة يد حلوة رقم 12,"A sweet, hand-tied bouquet featuring vibrant blue roses.",باقة يد حلوة تتميز بورد أزرق زاهٍ.,90,60,Greeting Card,بطاقة تهنئة
317,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Sweet petite petals no-17,باقة بتلات صغيرة حلوة رقم 17,A dainty and small bouquet of pink roses and petals.,باقة صغيرة ورقيقة من الورد الوردي والبتلات.,70,60,Greeting Card,بطاقة تهنئة
318,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),The luxe box no-2010,صندوق لوكس رقم 2010,"A premium, small box arrangement of lilies and flowers.",تنسيق صغير وفاخر من الزنبق والزهور في صندوق.,160,60,Greeting Card,بطاقة تهنئة
319,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Tiny bloom bouquet no-11,باقة أزهار صغيرة رقم 11,"A tiny, delicate bouquet perfect for small tokens of appreciation.",باقة صغيرة ورقيقة مثالية كهدية تقدير بسيطة.,110,60,Greeting Card,بطاقة تهنئة
320,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),Tiny rose delight no-16,باقة ورد صغيرة مبهجة رقم 16,A delightful tiny bouquet of fresh white roses.,باقة صغيرة ومبهجة من الورد الأبيض الطازج.,110,60,Greeting Card,بطاقة تهنئة
321,Budget flowers (below - 100 qr),زهور اقتصادية (أقل من 100 ريال),White and red rose mix,مزيج ورد أبيض وأحمر,A beautiful contrast of fresh white and red roses in a compact mix.,تباين جميل من الورد الأبيض والأحمر الطازج في مزيج صغير.,50,60,Greeting Card,بطاقة تهنئة
322,Congratulations Bouquets,بوكيه تهنئة,congrats bouquet blue color wow bouquet,بوكيه تهنئة أزرق مميز,A vibrant blue-themed bouquet with a 'Congrats' topper.,بوكيه بلمسات زرقاء زاهية مع بطاقة تهنئة.,370,60,Greeting Card,بطاقة تهنئة
323,Congratulations Bouquets,بوكيه تهنئة,congrats colorfull bouquet,بوكيه تهنئة ملون,A cheerful mix of colorful flowers for a congratulatory gift.,مزيج مبهج من الزهور الملونة لهدية تهنئة.,370,60,Greeting Card,بطاقة تهنئة
324,Congratulations Bouquets,بوكيه تهنئة,CONGRATS LILLY BOUQUET,بوكيه تهنئة زنبق,Elegant white lilies arranged for a congratulations bouquet.,زهور زنبق بيضاء أنيقة مرتبة في بوكيه تهنئة.,350,60,Greeting Card,بطاقة تهنئة
325,Congratulations Bouquets,بوكيه تهنئة,congrats mixed color bouquet,بوكيه تهنئة ألوان مشكلة,A delightful mix of various flower colors and types.,مزيج رائع من ألوان وأنواع زهور مختلفة.,370,60,Greeting Card,بطاقة تهنئة
326,Congratulations Bouquets,بوكيه تهنئة,CONGRATS PINK GOLDEN BOUQUET,بوكيه تهنئة وردي وذهبي,A luxurious bouquet featuring pink flowers with golden accents.,بوكيه فاخر يتميز بزهور وردية مع لمسات ذهبية.,360,60,Greeting Card,بطاقة تهنئة
327,Congratulations Bouquets,بوكيه تهنئة,congrats Reddish glamour bouquet,بوكيه تهنئة أحمر ساحر,A glamorous bouquet featuring rich red roses.,بوكيه ساحر يتميز بزهور الجوري الحمراء الغنية.,390,60,Greeting Card,بطاقة تهنئة
328,Congratulations Bouquets,بوكيه تهنئة,congratulation bouquet blue color awsome standing bouquet,بوكيه تهنئة أزرق واقف مميز,An impressive standing blue-themed arrangement.,تنسيق واقف رائع بلمسات زرقاء.,460,60,Greeting Card,بطاقة تهنئة
329,Congratulations Bouquets,بوكيه تهنئة,congratulation bouquet flower with baloon wow bouquet,بوكيه تهنئة بزهور وبالون مميز,A creative bouquet featuring flowers and a decorative balloon.,بوكيه إبداعي يضم زهوراً وبالوناً ديكورياً.,390,60,Greeting Card,بطاقة تهنئة
330,Congratulations Bouquets,بوكيه تهنئة,congratulation bouquet flower with baloon writing standing bouquet,بوكيه تهنئة بزهور وبالون كتابة واقف,A standing bouquet featuring flowers and a balloon with custom writing.,بوكيه واقف يضم زهوراً وبالوناً يحمل كتابة مخصصة.,370,60,Greeting Card,بطاقة تهنئة
331,Congratulations Bouquets,بوكيه تهنئة,congratulation pink and red bouquet,بوكيه تهنئة وردي وأحمر,A beautiful mix of pink and red flowers for congratulations.,مزيج جميل من الزهور الوردية والحمراء للتهنئة.,220,60,Greeting Card,بطاقة تهنئة
332,Congratulations Bouquets,بوكيه تهنئة,congratulation red color wow bouquet,بوكيه تهنئة لون أحمر مميز,A stunning arrangement of red-themed flowers.,تنسيق مذهل من الزهور ذات الطابع الأحمر.,200,60,Greeting Card,بطاقة تهنئة
333,Congratulations Bouquets,بوكيه تهنئة,congratulation Red rose bouquet,بوكيه تهنئة ورد أحمر,A classic bouquet of red roses for a celebratory gesture.,بوكيه كلاسيكي من زهور الجوري الأحمر لمناسبة احتفالية.,220,60,Greeting Card,بطاقة تهنئة
334,Congratulations Bouquets,بوكيه تهنئة,congratulation special red rose arrangement,تنسيق تهنئة خاص ورد أحمر,A special arrangement featuring elegant red roses.,تنسيق خاص يتميز بزهور الجوري الأحمر الأنيقة.,530,60,Greeting Card,بطاقة تهنئة
335,Congratulations Bouquets,بوكيه تهنئة,congratulation stylish bouquet,بوكيه تهنئة أنيق,A modern and stylish bouquet for congratulations.,بوكيه عصري وأنيق للتهنئة.,360,60,Greeting Card,بطاقة تهنئة
336,Congratulations Bouquets,بوكيه تهنئة,CONGRATULATIONS WONDERFULL BOUQUET,بوكيه تهنئة رائع,A wonderful and grand congratulatory bouquet.,بوكيه تهنئة رائع وكبير.,420,60,Greeting Card,بطاقة تهنئة
337,Congratulations Bouquets,بوكيه تهنئة,pinkish congratulation bouquet,بوكيه تهنئة وردي,A delicate and pretty pink-toned congratulatory bouquet.,بوكيه تهنئة رقيق وجميل بدرجات اللون الوردي.,330,60,Greeting Card,بطاقة تهنئة
338,EID AL ADA SPECIAL,خاص عيد الأضحى,10 WHITE LILY NO-1023,10 زنبق أبيض رقم 1023,A classic arrangement of 10 premium white lilies.,تنسيق كلاسيكي من 10 زنابق بيضاء فاخرة.,300,60,Greeting Card,بطاقة تهنئة
339,EID AL ADA SPECIAL,خاص عيد الأضحى,eid al adha special cake with pink and peach flowers bouquet,كيك عيد الأضحى الخاص مع بوكيه زهور وردية وخوخية,Special Eid cake paired with a delicate pink and peach bouquet.,كيك عيد خاص مع بوكيه رقيق بألوان وردية وخوخية.,380,60,Greeting Card,بطاقة تهنئة
340,EID AL ADA SPECIAL,خاص عيد الأضحى,eid al adha special cake with red white golden bouquet,كيك عيد الأضحى الخاص مع بوكيه أحمر وأبيض وذهبي,"Festive Eid cake with a grand red, white, and golden bouquet.",كيك عيد احتفالي مع بوكيه كبير بألوان الأحمر والأبيض والذهبي.,380,60,Greeting Card,بطاقة تهنئة
341,EID AL ADA SPECIAL,خاص عيد الأضحى,eid arrangement money box with white tulips and gerberas,تنسيق عيد صندوق هدايا مع توليب أبيض وجربيرا,A decorative money box arranged with white tulips and gerberas.,صندوق هدايا ديكوري مرتب مع زهور التوليب البيضاء والجربيرا.,290,60,Greeting Card,بطاقة تهنئة
342,EID AL ADA SPECIAL,خاص عيد الأضحى,eid day special arrangement,تنسيق عيد خاص,A premium floral arrangement designed specifically for Eid Day.,تنسيق زهور فاخر مصمم خصيصاً ليوم العيد.,640,60,Greeting Card,بطاقة تهنئة
343,EID AL ADA SPECIAL,خاص عيد الأضحى,Eid goat theme cake with red whitish bouquet,كيك بطابع خروف العيد مع بوكيه أحمر وأبيض,Eid goat-themed cake paired with a matching red and whitish bouquet.,كيك بطابع خروف العيد مع بوكيه متناسق باللونين الأحمر والأبيض.,380,60,Greeting Card,بطاقة تهنئة
344,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK LUXURY RED ROSE VASE ARRANGEMENT,تنسيق فازة ورد أحمر فاخر عيد مبارك,"Luxury red roses in a vase, perfect for Eid Mubarak celebrations.",ورد أحمر فاخر في فازة، مثالي لاحتفالات عيد مبارك.,540,60,Greeting Card,بطاقة تهنئة
345,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PINK AND FUCHIA ROSE MIX BOUQUET,بوكيه مبروك وردي وفوشيا,A vibrant mix of pink and fuchsia roses in a bouquet.,مزيج حيوي من الورد الوردي والفوشيا في بوكيه.,220,60,Greeting Card,بطاقة تهنئة
346,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX LILLY MIX FLOWER ARRANGEMENT,صندوق فاخر زنابق وزهور مشكلة عيد مبارك,Premium box featuring lilies and mixed flowers.,صندوق فاخر يحتوي على زنابق وزهور مشكلة.,370,60,Greeting Card,بطاقة تهنئة
347,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX MIXED FLOWER ARRANGEMENT,صندوق فاخر زهور مشكلة عيد مبارك,Premium box with a lush mix of various celebratory flowers.,صندوق فاخر مع مزيج كثيف من زهور الاحتفال المتنوعة.,370,60,Greeting Card,بطاقة تهنئة
348,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX PEACH ARRANGEMENT,صندوق فاخر ألوان خوخية عيد مبارك,Elegant premium box arrangement in soft peach tones.,تنسيق صندوق فاخر أنيق بألوان خوخية ناعمة.,370,60,Greeting Card,بطاقة تهنئة
349,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX RED ARRANGEMENT,صندوق فاخر أحمر عيد مبارك,Bold red floral arrangement in a premium gift box.,تنسيق زهور أحمر جريء في صندوق هدايا فاخر.,370,60,Greeting Card,بطاقة تهنئة
350,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX TULIP MIX FLOWER ARRANGEMENT,صندوق فاخر توليب وزهور مشكلة عيد مبارك,Premium box featuring tulips and a variety of mixed flowers.,صندوق فاخر يضم زهور التوليب ومجموعة من الزهور المشكلة.,370,60,Greeting Card,بطاقة تهنئة
351,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX WHITE PEARL ARRANGEMENT,صندوق فاخر لؤلؤي أبيض عيد مبارك,A white pearl-themed premium box arrangement.,تنسيق صندوق فاخر بطابع اللؤلؤ الأبيض.,370,60,Greeting Card,بطاقة تهنئة
352,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX WHITE TULIP ARRANGEMENT,صندوق فاخر توليب أبيض عيد مبارك,Premium box with elegant white tulips.,صندوق فاخر مع زهور توليب بيضاء أنيقة.,370,60,Greeting Card,بطاقة تهنئة
353,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM BOX YELLOW ARRANGEMENT,صندوق فاخر أصفر عيد مبارك,Bright yellow premium box floral arrangement.,تنسيق زهور صندوق فاخر باللون الأصفر الزاهي.,270,60,Greeting Card,بطاقة تهنئة
354,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK PREMIUM VASE ARRANGEMENT,تنسيق فازة فاخر عيد مبارك,A luxury vase arrangement for festive celebrations.,تنسيق فازة فاخر لاحتفالات العيد.,320,60,Greeting Card,بطاقة تهنئة
355,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK SPECIAL ARRANGEMENT 04,تنسيق خاص عيد مبارك 04,A special curated arrangement for Eid Mubarak 04.,تنسيق خاص منسق لعيد مبارك 04.,370,60,Greeting Card,بطاقة تهنئة
356,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK SPECIAL ARRANGEMENT WHITE AND PURPLE MIX BOUQUET,تنسيق خاص عيد مبارك أبيض وبنفسجي,A mix of white and purple flowers for a special Eid bouquet.,مزيج من الزهور البيضاء والبنفسجية لباقة عيد خاصة.,370,60,Greeting Card,بطاقة تهنئة
357,EID AL ADA SPECIAL,خاص عيد الأضحى,EID MUBARAK SPECIAL BLACK MIXED COLORFULL BOUQUET,تنسيق خاص عيد مبارك أسود ملون,A stylish black-themed bouquet with colorful mixed flowers.,بوكيه أنيق بطابع أسود مع زهور ملونة مشكلة.,370,60,Greeting Card,بطاقة تهنئة
